rank,content_id,baseline_score,reason_code,action,impressions_90d,ctr,avg_position
1,content_8c19996aa890,0.9899228269384761,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",509252,0.15,2.5
2,content_5fe46e04994d,0.9869797525309337,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",517715,0.14,4.2
3,content_aaef01a50def,0.9814294590912188,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",517109,0.25,5.4
4,content_4c36c775b818,0.9801301769026411,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",463103,0.41,2.3
5,content_1a9e894be2e2,0.9768376790381023,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",416180,0.23,4.0
6,content_8451fc6f034d,0.969621528030264,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",272144,0.03,2.3
7,content_db5989a78dd3,0.9670823435523954,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",345111,0.21,5.4
8,content_cb112fce36be,0.9638195025555738,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",309910,0.16,5.6
9,content_2c2606c5d176,0.9618698527561808,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",347399,0.53,4.2
10,content_44e481c8f55b,0.9611081782329892,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",312694,0.65,1.4
11,content_36ff89c8214e,0.9609398513777838,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",295097,0.05,7.3
12,content_008fb02c46cb,0.9537436010711247,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",236803,0.26,4.4
13,content_9532f197bbc8,0.9537181001905806,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",309192,0.87,2.0
14,content_73c54f78c06a,0.9532959586463066,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",213963,0.1,4.7
15,content_c84a0ab98e90,0.9497257856789922,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",223271,0.03,7.8
16,content_a7427266c305,0.948437069553364,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",201111,0.11,5.7
17,content_cea79ef51519,0.9479261654557989,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",208798,0.23,5.2
18,content_aa4baf490b43,0.9472518041463776,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",256290,0.5,5.9
19,content_2db251d1a841,0.9464124457835608,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",198671,0.18,5.6
20,content_3d94572c3a35,0.946234994604059,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",190623,0.24,4.3
21,content_2cb567c3c89b,0.9460089642455262,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",497727,0.1,22.2
22,content_d17681677e69,0.9449850441300631,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",201584,0.24,5.8
23,content_e12868d1f396,0.9445406929848319,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",149712,0.07,2.9
24,content_c21024970297,0.9440238336679214,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",211366,0.41,5.1
25,content_c8e9d6ab9013,0.943647931215065,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",208678,0.0,9.7
26,content_bb5bd5f771dc,0.943520888345063,CTR_OPPORTUNITY,"Review title, meta description, and search snippet",176296,0.23,4.3
